GRE,TOEFL,CGPA,Research,AdmissionChance
290,110,9.417735792160709,1,1.0
333,114,8.731445799428915,1,1.0
292,117,8.301667927424475,0,1.0
268,113,9.827698829995601,1,1.0
335,114,8.249586128954103,0,1.0
287,107,6.0386218512585685,0,1.0
322,101,7.136497020174344,0,1.0
289,97,9.924896834895804,1,1.0
312,104,7.337706812949841,1,1.0
323,119,6.89368387339227,0,1.0
299,109,6.720738465401293,0,1.0
339,102,9.691182465682267,1,1.0
314,108,9.115689472142687,0,1.0
273,118,8.123005118664011,0,1.0
283,117,7.002123837993414,1,1.0
301,115,6.160385674426367,0,1.0
316,116,8.611977303257211,0,1.0
313,95,9.069414478614394,0,1.0
284,107,7.308579487949332,0,1.0
294,105,6.351505974518968,0,1.0
303,99,8.323340591048014,0,1.0
285,109,6.624601925796811,0,1.0
265,98,7.9982941992866605,1,1.0
272,105,6.835180935138573,0,1.0
304,110,7.1212877651468975,1,1.0
265,111,6.948512086358215,1,1.0
296,116,6.133311046620261,1,1.0
318,93,8.571838636286206,0,1.0
332,94,9.750221267715887,1,1.0
295,119,9.059941086632161,1,1.0
285,95,6.813806296953414,0,1.0
309,110,8.62396640465144,0,1.0
339,109,6.842775448945032,1,1.0
315,115,7.885487532619647,0,1.0
334,102,9.167368056854219,0,1.0
319,100,8.101957959582048,1,1.0
304,119,6.081447085980631,1,1.0
299,107,6.880442641860247,0,1.0
275,100,7.794838192676158,1,1.0
280,103,8.248446174727569,1,1.0
278,93,8.155843502736703,0,1.0
285,101,7.231556559238959,0,1.0
284,108,8.191397745576571,1,1.0
330,115,7.596960776251049,0,1.0
293,118,6.425182747692039,0,1.0
266,96,9.36266612955492,0,1.0
290,103,9.613557142089542,0,1.0
274,110,9.898620390218086,0,1.0
290,94,7.249214410877685,0,1.0
316,116,9.213369166867611,1,1.0
314,97,9.93578002533182,0,1.0
267,111,8.718337097174516,1,1.0
337,101,7.101227396087638,0,1.0
319,92,9.113854711058574,0,1.0
334,98,7.1757127257072995,1,1.0
268,119,9.556854140183201,1,1.0
291,93,8.430177012641504,1,1.0
306,99,8.093426410590975,1,1.0
295,100,6.248493093992975,1,1.0
295,101,8.641987443254811,1,1.0
277,109,7.571288953690255,1,1.0
306,111,9.309411364534636,0,1.0
279,111,6.3235971835303,1,1.0
299,117,6.830228335811657,1,1.0
290,91,8.872140630345097,1,1.0
301,96,7.6581499287652885,1,1.0
334,104,8.17609365273579,0,1.0
303,117,9.166979668649498,0,1.0
276,102,8.178494851941455,1,1.0
274,111,7.819933933924359,0,1.0
288,119,7.021592366741718,0,1.0
333,102,9.325640541074524,1,1.0
280,112,8.23189467251796,1,1.0
279,93,7.49830204390671,1,1.0
268,114,9.91573492380947,1,1.0
332,112,8.687194894284595,1,1.0
331,108,9.895602370751174,1,1.0
324,96,6.6772886128011075,0,1.0
289,113,6.389412176136602,0,1.0
334,114,6.147074892248361,1,1.0
268,98,7.728852136724499,0,1.0
260,92,8.083397943509652,1,1.0
278,111,8.197725135630467,1,1.0
317,114,9.592146435440965,0,1.0
283,96,9.787554713079263,1,1.0
327,91,9.044804162039137,1,1.0
339,114,9.418874066734736,0,1.0
294,116,7.5440790999893235,1,1.0
307,98,7.268044215730523,0,1.0
289,105,9.081211927449147,1,1.0
335,95,9.252010351230961,1,1.0
298,99,9.583545744534204,1,1.0
322,105,6.035066398127782,1,1.0
328,110,7.15783620978899,1,1.0
302,98,6.701875434112077,1,1.0
334,119,7.827291922297303,1,1.0
270,108,9.123355479278262,0,1.0
